iter	RMSE
0	75243.84783
1	70471.03189
2	66079.70281
3	61988.13398
4	58615.59499
5	55457.44824
6	52444.99956
7	49593.33979
8	47013.5714
9	44719.91529
10	42608.59367
11	40627.02499
12	39205.69837
13	37606.50347
14	36257.97911
15	35049.82099
16	33893.88352
17	32883.28403
18	31923.04175
19	31063.35376
20	30348.47538
21	29598.77984
22	28944.76716
23	28380.94763
24	27706.92472
25	27252.87687
26	26711.9906
27	26275.02853
28	25647.55701
29	25174.28568
30	24726.32594
31	24340.56409
32	23991.12393
33	23640.68984
34	23340.2923
35	23037.74917
36	22811.11023
37	22531.9453
38	22233.69928
39	22004.81031
40	21794.77876
41	21501.68828
42	21303.85286
43	21091.5522
44	20882.77347
45	20693.49471
46	20537.12629
47	20387.01442
48	20295.42823
49	20144.20692
50	20035.39326
51	19883.12631
52	19758.84036
53	19630.24648
54	19485.89214
55	19342.50487
56	19242.71167
57	19153.50382
58	19043.30585
59	18955.47203
60	18856.41469
61	18731.59613
62	18644.74965
63	18561.1221
64	18491.17382
65	18396.41058
66	18284.11556
67	18146.81978
68	18097.03585
69	18002.56673
70	17935.3847
71	17830.65208
72	17776.39131
73	17689.07846
74	17629.53339
75	17543.59378
76	17465.97523
77	17393.74964
78	17348.20842
79	17272.71138
80	17206.40098
81	17147.4158
82	17057.75322
83	16961.77396
84	16907.85601
85	16836.15701
86	16778.19832
87	16709.68725
88	16623.71589
89	16563.96718
90	16469.26715
91	16416.44684
92	16374.51155
93	16336.40675
94	16296.96748
95	16223.61297
96	16183.03149
97	16175.64868
98	16094.76533
99	16017.11781
