iter	Passed	Remaining
0	10	993
1	21	1030
2	31	1032
3	41	1001
4	52	993
5	62	981
6	72	962
7	82	949
8	92	939
9	103	929
10	113	921
11	123	908
12	134	899
13	144	890
14	156	884
15	166	875
16	177	864
17	186	851
18	196	839
19	207	828
20	216	816
21	226	803
22	236	792
23	247	782
24	257	772
25	267	761
26	279	755
27	290	747
28	302	739
29	312	729
30	323	719
31	333	708
32	343	697
33	353	685
34	367	682
35	387	689
36	397	676
37	407	664
38	419	656
39	429	644
40	440	633
41	450	622
42	480	636
43	498	634
44	507	620
45	517	608
46	528	595
47	538	583
48	549	571
49	559	559
50	570	547
51	582	537
52	593	526
53	604	514
54	617	504
55	633	497
56	645	487
57	656	475
58	668	464
59	679	452
60	690	441
61	701	429
62	712	418
63	722	406
64	734	395
65	744	383
66	755	372
67	766	360
68	776	349
69	788	338
70	800	327
71	811	315
72	823	304
73	834	293
74	845	281
75	855	270
76	866	258
77	878	247
78	889	236
79	902	225
80	913	214
81	925	203
82	936	191
83	948	180
84	959	169
85	969	157
86	979	146
87	990	135
88	1000	123
89	1011	112
90	1020	100
91	1031	89
92	1041	78
93	1052	67
94	1061	55
95	1087	45
96	1097	33
97	1106	22
98	1117	11
99	1128	0
